m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;tenement;87.6;3.0;2.0;3.0;;53.4351;14.5329;lut.27;32.0;0.175;0.259;0.223;0.359;0.101;0.31;0.087;condominium;brick;;yes;yes;no;no;yes;640000
szczecin;tenement;77.71;3.0;3.0;3.0;1925.0;53.43301925;14.56977461;sty.22;9.0;0.568;0.994;0.346;0.374;0.07;0.675;0.43;condominium;brick;low;no;no;no;no;yes;599000
szczecin;tenement;95.78;4.0;;4.0;1945.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;no;no;no;yes;649000
szczecin;blockOfFlats;79.59;3.0;1.0;3.0;2017.0;53.3951523;14.4937737;maj.45;3.0;1.888;2.788;0.207;sty.98;0.24;3.718;0.5;condominium;brick;premium;no;yes;no;no;no;839000
szczecin;;53.8;2.0;5.0;5.0;;53.42942948;14.55464244;0.79;60.0;0.147;0.437;0.328;0.198;0.009;0.465;0.073;cooperative;;;no;no;yes;no;no;420000
szczecin;tenement;89.57;4.0;1.0;4.0;1930.0;53.43241105;14.5387773;sty.78;68.0;0.075;0.458;0.284;0.245;0.057;0.294;0.142;condominium;brick;premium;no;no;;no;no;810000
szczecin;blockOfFlats;76.64;3.0;2.0;4.0;1990.0;53.42632;14.53144;sty.98;20.0;0.21;0.429;0.107;0.697;0.087;0.721;0.048;condominium;brick;;yes;yes;no;no;yes;699000
szczecin;apartmentBuilding;56.0;2.0;3.0;3.0;2005.0;53.4334366008704;14.5309256423538;lut.28;20.0;0.078;0.474;0.262;0.217;0.069;0.465;0.026;condominium;brick;premium;yes;no;no;no;no;430000
szczecin;blockOfFlats;46.16;3.0;10.0;11.0;1967.0;53.43778659;14.55334042;sty.68;33.0;0.224;0.314;0.159;0.203;0.095;0.815;0.193;condominium;concreteSlab;premium;no;no;yes;no;no;515000
szczecin;;43.7;2.0;;8.0;1980.0;53.4296009;14.5026723;mar.92;7.0;0.305;0.901;0.385;0.466;0.178;2.071;0.408;cooperative;concreteSlab;premium;no;yes;yes;no;yes;440000
szczecin;apartmentBuilding;58.23;3.0;1.0;2.0;2016.0;53.477574;14.540893;cze.17;2.0;1.258;2.603;0.977;0.59;0.426;2.987;0.485;condominium;brick;premium;yes;yes;yes;no;no;699999
szczecin;tenement;60.0;3.0;1.0;4.0;1930.0;53.4471255;14.5525049;02.lip;14.0;0.314;0.679;0.583;0.425;0.031;1.401;0.183;condominium;brick;low;yes;no;no;no;yes;485000
szczecin;tenement;80.0;4.0;3.0;3.0;1910.0;53.4317259;14.5445338;sty.43;81.0;0.406;0.508;0.233;0.364;0.046;0.267;0.072;condominium;brick;low;no;no;no;no;no;430000
