m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;blockOfFlats;32.0;1.0;3.0;9.0;1970.0;53.4293725;14.503727;mar.85;7.0;0.235;0.937;0.329;0.399;0.141;02.lut;0.345;condominium;concreteSlab;premium;no;no;yes;no;no;2000
szczecin;blockOfFlats;39.95;2.0;6.0;6.0;2015.0;53.4133689;14.53287363;lut.17;7.0;0.308;0.61;0.262;0.084;0.023;0.724;0.69;condominium;;premium;no;yes;yes;no;no;2100
szczecin;blockOfFlats;39.0;2.0;6.0;6.0;2015.0;53.4128961;14.5317914;lut.26;7.0;0.221;0.538;0.315;0.153;0.058;0.772;0.608;condominium;;premium;no;yes;yes;no;no;2100
szczecin;apartmentBuilding;43.0;2.0;1.0;3.0;2020.0;53.4037108;14.5267092;mar.15;16.0;0.355;0.539;0.444;0.287;0.156;1.822;0.23;condominium;brick;premium;yes;no;yes;no;yes;2950
szczecin;blockOfFlats;45.8;2.0;1.0;4.0;1967.0;53.455075;14.5474;mar.64;4.0;0.71;0.951;0.238;0.193;0.532;1.797;0.122;condominium;concreteSlab;;no;no;no;no;yes;2000
szczecin;blockOfFlats;57.3;2.0;;4.0;2002.0;53.3960305;14.6633006;lip.43;8.0;0.188;2.046;0.447;0.474;0.292;;0.246;condominium;brick;premium;no;yes;no;no;no;2200
szczecin;tenement;26.0;1.0;4.0;4.0;1930.0;53.43204945;14.54439667;sty.46;80.0;0.393;0.498;0.262;0.373;0.061;0.3;0.093;condominium;brick;premium;yes;no;;no;no;1800
szczecin;blockOfFlats;60.0;3.0;;3.0;2023.0;53.423476;14.481139;maj.29;3.0;0.539;0.774;0.388;0.842;0.266;3.368;0.169;condominium;;;no;yes;yes;no;no;5000
szczecin;tenement;54.0;2.0;3.0;3.0;1950.0;53.4408512;14.528051;lut.92;13.0;0.201;0.41;0.936;0.485;0.174;0.242;0.183;condominium;brick;premium;no;no;no;no;yes;2350
szczecin;blockOfFlats;47.5;2.0;2.0;4.0;1960.0;53.42907672;14.54892826;01.lut;84.0;0.453;0.166;0.307;0.308;0.084;0.362;0.27;condominium;brick;premium;yes;yes;no;no;yes;2300
szczecin;tenement;49.5;2.0;3.0;4.0;1950.0;53.4309565;14.5494724;sty.13;80.0;0.282;0.37;0.284;0.211;0.038;0.432;0.142;condominium;brick;premium;no;no;no;no;yes;2500
szczecin;tenement;81.04;4.0;;4.0;1940.0;53.4490931;14.5168436;04.wrz;0.0;0.509;1.039;0.998;0.676;0.661;1.192;0.668;condominium;brick;premium;no;yes;no;no;yes;3000
szczecin;blockOfFlats;50.0;2.0;2.0;2.0;2009.0;53.4541752;14.4767226;cze.55;4.0;0.329;2.355;0.833;0.823;0.156;3.814;0.119;condominium;brick;premium;no;yes;no;no;no;2500
szczecin;;32.0;1.0;1.0;3.0;;53.4252;14.5526;0.59;64.0;0.305;0.285;0.144;0.128;0.044;0.757;0.093;condominium;;;no;no;no;no;no;2150
szczecin;;51.65;2.0;3.0;4.0;;53.445704;14.5227193;mar.55;1.0;0.59;0.994;0.936;0.954;0.511;0.653;0.499;condominium;;;no;no;;no;no;2200
szczecin;tenement;80.0;3.0;2.0;4.0;1920.0;53.43287621;14.54375267;sty.55;80.0;0.378;0.471;0.327;0.319;0.04;0.341;0.186;condominium;brick;premium;yes;no;;no;no;3000
szczecin;blockOfFlats;44.0;2.0;2.0;3.0;2023.0;53.399625139835;14.494647258645;maj.13;2.0;1.394;2.511;0.298;1.771;0.264;3.324;0.605;condominium;brick;premium;no;yes;yes;no;no;3500
szczecin;blockOfFlats;32.42;1.0;11.0;11.0;2017.0;53.41099;14.5267748;lut.65;14.0;0.194;0.362;0.401;0.129;0.092;1.034;0.32;condominium;brick;premium;yes;no;yes;no;no;2000
szczecin;blockOfFlats;54.0;3.0;2.0;3.0;1937.0;53.4408129;14.5430043;lut.27;18.0;0.33;0.609;0.266;0.395;0.256;0.497;0.265;condominium;brick;premium;no;yes;no;no;yes;3000
szczecin;;31.0;2.0;4.0;4.0;2017.0;53.4348144;14.5375165;02.sty;40.0;0.114;0.179;0.229;0.205;0.064;0.164;0.331;condominium;brick;;no;no;no;no;no;2099
szczecin;apartmentBuilding;58.0;2.0;6.0;8.0;2022.0;53.4037063;14.4851222;maj.48;1.0;1.373;2.317;0.948;1.594;0.27;3.565;0.999;condominium;brick;;no;yes;no;no;no;4500
szczecin;apartmentBuilding;31.0;1.0;4.0;9.0;2018.0;53.4269522;14.5523236;0.7;58.0;0.321;0.242;0.121;0.173;0.062;0.646;0.062;condominium;brick;;no;no;yes;no;no;2300
szczecin;;43.24;2.0;3.0;3.0;;53.4014513;14.5071442;kwi.32;1.0;1.083;1.672;0.721;0.921;0.388;2.609;0.538;condominium;;;no;yes;yes;no;no;2300
szczecin;;52.0;2.0;2.0;2.0;;53.414576042187;14.4935408056291;kwi.57;5.0;0.604;1.054;0.418;0.313;0.032;2.589;0.76;condominium;brick;;no;yes;no;no;no;2600
szczecin;;48.0;2.0;13.0;28.0;;53.4368668;14.5530096;sty.59;35.0;0.194;0.237;0.181;0.165;0.099;0.781;0.231;condominium;;;yes;no;no;yes;no;4200
szczecin;blockOfFlats;57.35;2.0;5.0;5.0;2008.0;53.4308373;14.5419351;sty.51;75.0;0.261;0.582;0.132;0.166;0.043;0.19;0.075;condominium;brick;premium;yes;yes;yes;no;no;2300
szczecin;blockOfFlats;74.0;3.0;2.0;5.0;2010.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;yes;yes;yes;no;no;3000
szczecin;tenement;33.14;2.0;4.0;4.0;1940.0;53.4327647;14.5348102;02.lut;40.0;0.186;0.4;0.08;0.423;0.017;0.42;0.282;condominium;brick;premium;yes;no;;no;no;1890
szczecin;blockOfFlats;30.0;2.0;2.0;3.0;2010.0;53.496195;14.5909595;sie.33;4.0;1.184;1.363;0.404;0.142;0.391;3.817;0.389;condominium;brick;;yes;yes;no;no;no;1700
szczecin;apartmentBuilding;38.0;2.0;3.0;4.0;2023.0;53.4374298282899;14.4948460448106;kwi.65;3.0;0.411;0.921;0.546;0.107;0.531;2.388;0.55;condominium;brick;premium;yes;yes;yes;no;no;2400
szczecin;apartmentBuilding;34.8;2.0;4.0;5.0;2019.0;53.4354007;14.5286061;lut.53;20.0;0.112;0.518;0.468;0.162;0.189;0.29;0.201;condominium;brick;premium;yes;yes;yes;no;no;2200
szczecin;apartmentBuilding;60.0;3.0;;3.0;2023.0;53.42352;14.48098;05.mar;3.0;0.55;0.784;0.392;0.851;0.277;3.379;0.173;condominium;brick;premium;yes;no;yes;no;no;5000
szczecin;blockOfFlats;38.0;2.0;;10.0;1970.0;53.4368668;14.5530096;sty.59;35.0;0.194;0.237;0.181;0.165;0.099;0.781;0.231;condominium;concreteSlab;;yes;no;yes;no;yes;1800
szczecin;blockOfFlats;32.0;1.0;3.0;4.0;1995.0;53.4251969;14.483061;maj.17;3.0;0.526;0.657;0.17;0.682;0.386;3.271;0.077;condominium;concreteSlab;premium;no;yes;no;no;yes;1750
szczecin;blockOfFlats;64.0;2.0;4.0;4.0;2017.0;53.4294606;14.5520172;0.9;69.0;0.252;0.297;0.341;0.149;0.049;0.565;0.137;condominium;brick;premium;no;no;yes;no;no;3000
szczecin;blockOfFlats;26.28;1.0;1.0;4.0;1980.0;53.4149829;14.529489;lut.29;8.0;0.4;0.566;0.208;0.241;0.265;0.557;0.735;condominium;brick;premium;yes;no;;no;no;1500
szczecin;;68.0;3.0;;4.0;;53.44068035;14.53164933;lut.73;15.0;0.195;0.183;0.794;0.248;0.304;0.19;0.316;condominium;;;no;no;no;no;no;2700
szczecin;;54.0;2.0;;3.0;;53.4285438;14.5528116;0.79;67.0;0.288;0.285;0.268;0.245;0.068;0.593;0.085;condominium;;;no;yes;no;no;no;3000
szczecin;blockOfFlats;57.2;3.0;1.0;10.0;1970.0;53.40624115;14.52435759;03.wrz;19.0;0.126;0.415;0.315;0.155;0.17;1.586;0.105;condominium;concreteSlab;;yes;yes;yes;no;yes;2500
szczecin;blockOfFlats;64.5;3.0;3.0;3.0;2023.0;53.42352;14.48098;05.mar;3.0;0.55;0.784;0.392;0.851;0.277;3.379;0.173;condominium;;premium;yes;yes;yes;no;no;4500
szczecin;;55.0;2.0;3.0;4.0;;53.4285438;14.5528116;0.79;67.0;0.288;0.285;0.268;0.245;0.068;0.593;0.085;condominium;;;no;no;no;no;yes;2500
szczecin;apartmentBuilding;38.28;2.0;5.0;6.0;2023.0;53.4352;14.5728;sty.53;9.0;0.335;1.165;0.264;0.565;0.224;0.984;0.302;condominium;brick;premium;yes;yes;yes;yes;no;2700
szczecin;apartmentBuilding;49.32;3.0;6.0;6.0;2023.0;53.4352;14.5728;sty.53;9.0;0.335;1.165;0.264;0.565;0.224;0.984;0.302;condominium;brick;premium;yes;yes;yes;yes;no;3500
szczecin;blockOfFlats;43.0;2.0;3.0;6.0;2023.0;53.4352;14.5718;01.maj;11.0;0.32;1.099;0.273;0.512;0.234;0.935;0.253;condominium;;premium;yes;yes;yes;no;no;2500
szczecin;blockOfFlats;96.06;4.0;3.0;3.0;2009.0;53.46560024;14.54153863;kwi.87;11.0;0.159;1.342;0.103;0.082;0.314;2.465;0.366;condominium;brick;premium;no;yes;no;no;no;4000
szczecin;apartmentBuilding;44.07;2.0;2.0;2.0;2024.0;53.4506797;14.508605;kwi.61;8.0;0.319;0.95;0.594;0.548;0.114;1.738;0.265;condominium;brick;premium;yes;no;yes;no;no;2450
szczecin;blockOfFlats;31.maj;2.0;;3.0;2022.0;53.474167;14.537222;maj.86;1.0;0.888;2.189;0.795;0.494;0.598;3.013;0.662;condominium;brick;premium;no;no;yes;no;no;2400
szczecin;blockOfFlats;36.49;2.0;2.0;4.0;2022.0;53.4167367;14.5343038;sty.92;10.0;0.433;0.409;0.171;0.307;0.242;0.388;0.594;condominium;;premium;yes;yes;yes;no;no;2700
szczecin;tenement;27.0;1.0;;4.0;1938.0;53.42632;14.53144;sty.98;20.0;0.21;0.429;0.107;0.697;0.087;0.721;0.048;condominium;brick;;no;no;;no;no;1400
szczecin;tenement;84.0;3.0;3.0;4.0;1930.0;53.4315671008775;14.544003191002;sty.45;80.0;0.376;0.546;0.203;0.324;0.036;0.243;0.106;condominium;brick;premium;yes;no;no;no;no;3300
szczecin;;50.0;2.0;1.0;2.0;1933.0;53.43936856;14.5125854;mar.66;6.0;0.614;0.535;0.176;0.356;0.797;1.228;0.284;condominium;;;no;yes;no;no;no;2300
szczecin;apartmentBuilding;47.5;2.0;10.0;10.0;2015.0;53.4316221;14.5163271;03.sty;12.0;0.189;1.363;0.123;0.226;0.103;1.173;0.244;condominium;brick;premium;no;no;yes;no;no;3350
szczecin;blockOfFlats;44.0;2.0;1.0;4.0;2007.0;53.4656376;14.5423955;kwi.86;11.0;0.209;1.371;0.152;0.072;0.342;lut.41;0.366;condominium;brick;premium;no;yes;yes;no;yes;2100
szczecin;;68.5;3.0;6.0;10.0;1970.0;53.45604;14.55927;mar.63;11.0;0.561;0.376;0.306;0.254;0.181;1.469;0.317;condominium;;;no;no;yes;no;no;3200
szczecin;blockOfFlats;38.0;2.0;2.0;2.0;1950.0;53.4459187;14.5013791;kwi.67;8.0;0.294;0.514;0.408;0.46;0.361;1.987;0.392;condominium;brick;;no;no;no;no;no;1800
szczecin;blockOfFlats;42.54;2.0;1.0;3.0;2022.0;53.404167;14.503333;kwi.38;5.0;0.834;1.803;0.337;1.177;0.067;2.558;0.21;condominium;brick;premium;no;yes;no;no;no;2200
szczecin;;43.14;2.0;3.0;3.0;1960.0;53.42569946;14.56016779;0.26;64.0;0.056;0.776;0.593;0.166;0.056;0.418;0.39;condominium;brick;;no;yes;no;no;yes;2500
szczecin;;36.0;2.0;4.0;5.0;;53.4252165;14.5421392;sty.26;39.0;0.239;0.425;0.182;0.363;0.1;0.474;0.203;condominium;;;no;yes;yes;no;no;3000
szczecin;blockOfFlats;46.9;2.0;2.0;4.0;2024.0;53.43727375;14.49328254;kwi.74;3.0;0.506;1.016;0.505;0.031;0.487;2.492;0.512;condominium;brick;premium;yes;yes;yes;no;no;2600
szczecin;apartmentBuilding;30.21;1.0;;3.0;2021.0;53.3921376;14.4861837;06.maj;0.0;1.849;3.392;0.774;1.801;0.729;4.307;0.778;condominium;brick;premium;yes;no;no;no;no;1800
szczecin;;32.0;1.0;;;;53.4305907;14.5611917;0.8;30.0;0.07;0.647;0.287;0.083;0.162;0.142;0.442;condominium;;;no;no;;no;no;1900
szczecin;blockOfFlats;37.91;2.0;3.0;4.0;2011.0;53.4314192;14.5342442;sty.98;36.0;0.158;0.554;0.233;0.379;0.143;0.547;0.184;condominium;brick;premium;yes;yes;yes;no;no;2400
szczecin;tenement;73.73;3.0;1.0;3.0;1937.0;53.4327647;14.5348102;02.lut;40.0;0.186;0.4;0.08;0.423;0.017;0.42;0.282;condominium;brick;premium;no;yes;no;no;yes;2900
szczecin;blockOfFlats;38.0;2.0;3.0;4.0;1966.0;53.4524724970265;14.5699202044575;mar.29;13.0;0.256;0.45;0.341;0.363;0.331;1.268;0.316;condominium;concreteSlab;;no;no;no;no;no;2500
szczecin;blockOfFlats;48.8;2.0;4.0;4.0;1995.0;53.426035;14.484698;05.cze;5.0;0.53;0.58;0.044;0.574;0.477;3.184;0.203;condominium;brick;premium;yes;yes;no;no;no;2100
szczecin;blockOfFlats;80.0;3.0;2.0;3.0;2000.0;53.42395813;14.55945969;0.12;57.0;0.146;0.679;0.414;0.11;0.009;0.617;0.414;condominium;;premium;no;yes;no;no;no;3950
szczecin;tenement;25.lut;1.0;4.0;4.0;1930.0;53.43597803;14.54471023;sty.77;45.0;0.108;0.279;0.294;0.172;0.102;0.236;0.312;condominium;brick;premium;no;no;;no;no;1400
szczecin;blockOfFlats;75.0;4.0;11.0;11.0;1988.0;53.4285438;14.5528116;0.79;67.0;0.288;0.285;0.268;0.245;0.068;0.593;0.085;condominium;;;no;no;yes;no;yes;2800
szczecin;blockOfFlats;59.2;3.0;3.0;4.0;1979.0;53.4529415;14.5570162;03.mar;15.0;0.323;0.417;0.365;0.239;0.215;1.786;0.087;condominium;concreteSlab;;no;yes;no;no;no;2500
szczecin;blockOfFlats;79.0;3.0;1.0;2.0;1997.0;53.41432305;14.49350015;kwi.58;5.0;0.591;1.082;0.393;0.33;0.059;2.598;0.787;condominium;;premium;no;no;no;no;no;3000
szczecin;apartmentBuilding;34.74;2.0;3.0;5.0;2019.0;53.4354007;14.5286061;lut.53;20.0;0.112;0.518;0.468;0.162;0.189;0.29;0.201;condominium;brick;premium;yes;yes;yes;no;no;2100
szczecin;blockOfFlats;40.0;2.0;;3.0;2015.0;53.4775896;14.5411485;cze.17;2.0;1.261;2.608;0.97;0.578;0.414;2.974;0.479;condominium;;premium;no;no;no;no;no;2300
szczecin;blockOfFlats;36.7;2.0;2.0;4.0;1970.0;53.4455745;14.5620118;lut.47;5.0;0.092;0.792;0.723;0.183;0.531;1.708;0.251;condominium;concreteSlab;premium;no;no;;no;no;2300
szczecin;blockOfFlats;25.0;1.0;1.0;10.0;1960.0;53.43295376;14.54455378;sty.52;79.0;0.338;0.428;0.274;0.343;0.029;0.376;0.164;condominium;concreteSlab;premium;no;no;yes;no;no;1900
szczecin;blockOfFlats;43.0;2.0;5.0;5.0;1964.0;53.4363959;14.5595453;sty.45;19.0;0.173;0.317;0.281;0.276;0.081;0.796;0.111;condominium;brick;;no;yes;no;no;no;1900
szczecin;blockOfFlats;46.0;2.0;;2.0;1930.0;53.4339747;14.5036466;mar.98;4.0;0.069;0.937;0.483;0.489;0.621;sty.85;0.541;condominium;brick;premium;no;no;no;no;no;2100
szczecin;blockOfFlats;50.5;2.0;1.0;4.0;2022.0;53.4335341;14.4830325;maj.29;1.0;1.303;1.238;0.861;0.716;0.901;3.203;0.436;condominium;brick;premium;yes;yes;yes;no;no;2550
szczecin;blockOfFlats;48.6;2.0;1.0;4.0;1990.0;53.399444;14.526111;mar.53;8.0;0.109;1.004;0.153;0.178;0.166;2.296;0.141;condominium;brick;premium;yes;yes;no;no;no;2300
szczecin;;29.0;1.0;4.0;6.0;;53.4187193;14.5445331;sty.21;9.0;0.233;0.479;0.55;0.592;0.366;0.866;0.335;condominium;;;no;no;yes;yes;no;1950
szczecin;apartmentBuilding;37.17;2.0;1.0;4.0;2021.0;53.4312161;14.5424176;sty.51;77.0;0.277;0.586;0.158;0.213;0.032;0.214;0.048;condominium;brick;premium;no;no;yes;no;no;2600
szczecin;tenement;32.0;1.0;;;1940.0;53.43947149;14.5704782;01.wrz;18.0;0.148;1.118;0.261;0.168;0.276;1.268;0.218;condominium;brick;;no;no;no;no;yes;1500
szczecin;tenement;54.0;2.0;3.0;3.0;1950.0;53.4408512;14.528051;lut.92;13.0;0.201;0.41;0.936;0.485;0.174;0.242;0.183;condominium;brick;premium;no;no;no;no;yes;2300
szczecin;;59.0;3.0;;5.0;;53.4234563;14.5541395;0.45;68.0;0.142;0.347;0.241;0.164;0.101;0.823;0.204;condominium;;;no;yes;yes;no;no;4500
szczecin;;27.14;1.0;;3.0;2021.0;53.39357882;14.47970152;cze.33;0.0;1.843;3.496;1.057;1.742;0.82;4.512;0.861;condominium;;;yes;no;no;no;no;2000
szczecin;blockOfFlats;115.0;4.0;5.0;6.0;1995.0;53.445816;14.549937;02.cze;14.0;0.413;0.566;0.388;0.387;0.124;1.189;0.052;condominium;brick;;no;no;no;no;yes;3950
szczecin;blockOfFlats;80.96;4.0;4.0;6.0;1995.0;53.445816;14.549937;02.cze;14.0;0.413;0.566;0.388;0.387;0.124;1.189;0.052;condominium;concreteSlab;premium;yes;yes;no;no;yes;4500
szczecin;blockOfFlats;43.0;2.0;4.0;4.0;2023.0;53.418611;14.549722;0.92;11.0;0.371;0.319;0.225;0.63;0.323;1.208;0.359;condominium;brick;premium;yes;yes;yes;no;no;2800
szczecin;blockOfFlats;39.0;2.0;2.0;4.0;2023.0;53.418611;14.549722;0.92;11.0;0.371;0.319;0.225;0.63;0.323;1.208;0.359;condominium;brick;premium;yes;yes;yes;no;no;2800
szczecin;blockOfFlats;34.09;1.0;2.0;2.0;1930.0;53.4459187;14.5013791;kwi.67;8.0;0.294;0.514;0.408;0.46;0.361;1.987;0.392;condominium;brick;;no;no;no;no;no;1600
szczecin;tenement;73.0;3.0;1.0;4.0;1930.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;;no;no;;no;no;2500
szczecin;blockOfFlats;41.0;2.0;4.0;4.0;1966.0;53.4259747;14.559383;0.31;68.0;0.067;0.722;0.582;0.107;0.015;0.404;0.33;condominium;brick;;no;yes;no;no;yes;2500
szczecin;apartmentBuilding;29.0;2.0;3.0;3.0;2022.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;;no;no;yes;no;no;2500
szczecin;tenement;38.17;2.0;4.0;4.0;1930.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;premium;no;no;no;no;yes;2400
szczecin;blockOfFlats;47.0;2.0;2.0;3.0;2011.0;53.457778;14.5825;04.sie;7.0;0.088;1.201;0.882;0.755;0.247;0.608;0.13;condominium;brick;premium;yes;yes;yes;no;no;2500
szczecin;blockOfFlats;29.45;1.0;;10.0;;53.40357769;14.52282071;mar.35;10.0;0.339;0.688;0.517;0.167;0.161;1.899;0.22;condominium;;;no;no;yes;no;no;1500
szczecin;blockOfFlats;26.64;1.0;;2.0;2016.0;53.4014513;14.5071442;kwi.32;1.0;1.083;1.672;0.721;0.921;0.388;2.609;0.538;condominium;;premium;yes;no;yes;no;yes;1700
szczecin;blockOfFlats;50.0;2.0;;3.0;;53.4779629815713;14.5429622015721;cze.18;2.0;1.318;2.675;0.953;0.526;0.362;2.899;0.423;condominium;;;no;yes;no;no;yes;2650
szczecin;tenement;50.0;2.0;1.0;4.0;1920.0;53.4482921;14.5374909;mar.18;11.0;0.134;0.764;0.369;0.458;0.328;0.801;0.314;condominium;brick;premium;yes;no;no;no;yes;1800
szczecin;apartmentBuilding;74.0;3.0;3.0;6.0;2005.0;53.4322507;14.5700643;sty.15;5.0;0.604;1.037;0.33;0.371;0.034;0.644;0.517;condominium;brick;premium;yes;yes;yes;no;no;3900
szczecin;apartmentBuilding;49.6;2.0;1.0;4.0;2012.0;53.418587;14.5376431;sty.64;14.0;0.171;0.446;0.413;0.59;0.273;0.424;0.408;condominium;brick;premium;yes;yes;yes;no;yes;3500
szczecin;blockOfFlats;113.35;4.0;3.0;3.0;2011.0;53.4250745;14.5619367;0.2;53.0;0.136;0.881;0.619;0.14;0.069;0.476;0.503;condominium;brick;premium;no;no;no;no;no;5000
szczecin;blockOfFlats;57.0;3.0;;3.0;1934.0;53.4342457;14.5023229;04.lip;1.0;0.162;0.927;0.564;0.55;0.655;1.929;0.621;condominium;brick;premium;no;no;no;no;yes;2500
szczecin;blockOfFlats;63.02;3.0;2.0;4.0;1934.0;53.4474074;14.5459083;lut.85;16.0;0.261;0.844;0.242;0.259;0.352;1.152;0.265;condominium;brick;premium;no;yes;no;no;yes;2500
